sure_s,kazanan_drone_id,kazanan_teklif_puani,enlem_deg,boylam_deg,mutlak_irtifa_m,bagil_irtifa_m,home_mesafesi_m,hedef_mesafesi_m
5.041,3,102.292,47.397966,8.5461679,0.485,0.269,0.023,2.218
5.061,3,102.292,47.397966,8.5461679,0.496,0.28,0.023,2.218
5.08,3,102.292,47.397966,8.5461678,0.513,0.297,0.03,2.211
5.101,3,102.292,47.397966,8.5461678,0.524,0.309,0.03,2.211
5.121,3,102.292,47.397966,8.5461678,0.542,0.326,0.03,2.211
5.141,3,102.292,47.397966,8.5461678,0.554,0.338,0.03,2.211
5.161,3,102.292,47.397966,8.5461678,0.572,0.356,0.03,2.211
5.181,3,102.292,47.397966,8.5461678,0.585,0.369,0.03,2.211
5.201,3,102.292,47.397966,8.5461678,0.604,0.388,0.03,2.211
5.225,3,102.292,47.397966,8.5461678,0.617,0.401,0.03,2.211
5.241,3,102.292,47.397966,8.5461678,0.636,0.42,0.03,2.211
5.261,3,102.292,47.397966,8.5461678,0.65,0.434,0.03,2.211
5.281,3,102.292,47.397966,8.5461678,0.671,0.455,0.03,2.211
5.301,3,102.292,47.397966,8.5461677,0.685,0.469,0.038,2.204
5.321,3,102.292,47.397966,8.5461677,0.706,0.49,0.038,2.204
5.341,3,102.292,47.397966,8.5461677,0.721,0.505,0.038,2.204
5.361,3,102.292,47.397966,8.5461677,0.743,0.527,0.038,2.204
5.381,3,102.292,47.397966,8.5461677,0.758,0.542,0.038,2.204
5.407,3,102.292,47.397966,8.5461677,0.781,0.565,0.038,2.204
5.421,3,102.292,47.397966,8.5461677,0.797,0.581,0.038,2.204
5.441,3,102.292,47.397966,8.5461677,0.821,0.605,0.038,2.204
5.461,3,102.292,47.397966,8.5461677,0.837,0.621,0.038,2.204
5.481,3,102.292,47.397966,8.5461677,0.861,0.645,0.038,2.204
5.501,3,102.292,47.397966,8.5461677,0.877,0.661,0.038,2.204
5.521,3,102.292,47.397966,8.5461677,0.902,0.686,0.038,2.204
5.541,3,102.292,47.397966,8.5461677,0.919,0.703,0.038,2.204
5.563,3,102.292,47.397966,8.5461677,0.943,0.727,0.038,2.204
5.581,3,102.292,47.397966,8.5461677,0.96,0.744,0.038,2.204
5.601,3,102.292,47.397966,8.5461677,0.984,0.769,0.038,2.204
5.621,3,102.292,47.397966,8.5461677,1.001,0.785,0.038,2.204
5.641,3,102.292,47.397966,8.5461677,1.025,0.809,0.038,2.204
5.661,3,102.292,47.397966,8.5461677,1.041,0.825,0.038,2.204
5.681,3,102.292,47.397966,8.5461677,1.064,0.849,0.038,2.204
5.701,3,102.292,47.397966,8.5461677,1.08,0.864,0.038,2.204
5.721,3,102.292,47.397966,8.5461678,1.103,0.887,0.03,2.211
5.741,3,102.292,47.397966,8.5461678,1.118,0.902,0.03,2.211
5.761,3,102.292,47.397966,8.5461678,1.14,0.924,0.03,2.211
5.781,3,102.292,47.397966,8.5461678,1.155,0.939,0.03,2.211
5.801,3,102.292,47.397966,8.5461678,1.176,0.96,0.03,2.211
5.821,3,102.292,47.3979661,8.5461678,1.191,0.975,0.032,2.206
5.841,3,102.292,47.3979661,8.5461679,1.212,0.996,0.025,2.213
5.861,3,102.292,47.3979661,8.5461679,1.226,1.01,0.025,2.213
5.881,3,102.292,47.3979661,8.5461679,1.246,1.031,0.025,2.213
5.901,3,102.292,47.3979661,8.5461679,1.26,1.044,0.025,2.213
5.923,3,102.292,47.3979661,8.5461679,1.281,1.065,0.025,2.213
5.941,3,102.292,47.3979661,8.546168,1.294,1.078,0.019,2.219
5.961,3,102.292,47.3979661,8.546168,1.315,1.099,0.019,2.219
5.981,3,102.292,47.3979661,8.546168,1.328,1.112,0.019,2.219
6.001,3,102.292,47.3979661,8.546168,1.348,1.133,0.019,2.219
6.021,3,102.292,47.3979662,8.546168,1.362,1.146,0.027,2.214
6.041,3,102.292,47.3979662,8.546168,1.382,1.166,0.027,2.214
6.061,3,102.292,47.3979662,8.5461681,1.395,1.179,0.023,2.221
6.081,3,102.292,47.3979662,8.5461681,1.415,1.2,0.023,2.221
6.101,3,102.292,47.3979662,8.5461681,1.429,1.213,0.023,2.221
6.121,3,102.292,47.3979662,8.5461681,1.449,1.233,0.023,2.221
6.141,3,102.292,47.3979662,8.5461681,1.462,1.246,0.023,2.221
6.161,3,102.292,47.3979662,8.5461681,1.482,1.266,0.023,2.221
6.181,3,102.292,47.3979662,8.5461681,1.495,1.28,0.023,2.221
